Mois,Nombre Accidents,Nombre de jours d'absences,TF mensuel,TF annuel glissant 12 mois,TG mensuel,TG annuel glissant 12 mois
2015-02,389,15224,19.7456026,20.17846953,0.777032608,0.86670713
2015-04,392,17538,19.94651541,19.90662217,0.895964906,0.861245639
2015-07,384,16992,19.33584991,19.92378494,0.85554858,0.85148497
2015-09,436,16204,22.03355637,19.79820992,0.823074616,0.846145811
2016-01,371,17077,18.90839413,19.68495714,0.870346756,0.865390584
2016-06,344,18221,17.49372651,18.98466959,0.926608113,0.880330545
2016-12,315,18710,16.06879754,18.36834648,0.954435562,0.896861679
2017-01,370,16698,19.10025012,18.3835641,0.861989126,0.896201936
2017-07,370,18840,18.95219636,18.52044218,0.96502535,0.891011506
2018-02,397,16048,20.77,18.48693391,0.84,0.89
2018-04,281,17747,14.71,18.19174909,0.93,0.91
2018-06,353,19102,18.49,17.78540537,1,0.93
2021-01,332,17928,18.33,12.61479232,0.99,0.97
2021-04,210,17059,11.64,13.81815269,0.95,0.97
2021-08,258,18025,14.3,14.97829352,1,0.99
2022-01,282,17384,15.84,15.26474249,0.98,1
2022-05,269,19002,15.13,16.03920236,1.07,1.02
2022-07,217,18210,12.17,15.45052564,1.02,1.02
2022-10,256,18321,14.36,15.069483,1.03,1.03
2023-01,304,17973,17.04,14.78478715,1.01,1.03
2023-02,238,16582,13.31,14.49888036,0.93,1.03
2023-03,238,17825,13.28,14.04613168,0.99,1.02
2015-06,451,16946,22.9697131,19.99215307,0.865362295,0.855376446
2015-08,329,16149,16.52073229,19.89274866,0.810567202,0.847892069
2015-11,400,17775,20.29183112,19.71737642,0.90476202,0.856287844
2015-12,321,18083,16.24760097,19.72992792,0.917508607,0.860484884
2016-05,376,18032,19.20629899,19.43952457,0.921085062,0.875239539
2016-08,356,17687,17.98618701,18.7967113,0.893600252,0.892022489
2017-05,372,17206,19.21163862,18.06997356,0.888589931,0.887816995
2017-11,315,17276,16.34672216,18.18316831,0.896526895,0.89779662
2018-03,368,18854,19.26,18.43590405,0.99,0.9
2019-01,363,18627,19.4,18.21615894,1,0.98
2019-03,333,18855,17.87,17.81459247,1.01,0.99
2019-04,345,18280,18.52,18.13424084,0.98,0.99
2020-03,197,19392,10.77,17.25610035,1.06,1.04
2020-05,127,16381,6.98,14.89199181,0.9,1.02
2020-11,222,18244,12.2,12.18052678,1,0.99
2022-02,299,16636,16.8,15.28086401,0.93,0.99
2022-03,334,18829,18.77,15.5329058,1.06,1
2022-04,270,18467,15.18,15.83496235,1.04,1.01
2022-09,268,18616,15.07,15.22045945,1.05,1.03
2023-07,223,18159,12.29,13.66391491,1,1
2015-03,437,17176,22.20754574,20.14394489,0.87905292,0.863176629
2015-10,396,18368,20.07388401,19.60157458,0.934246672,0.851299716
2016-09,401,17500,20.42385358,18.66071249,0.891315306,0.897743367
2016-10,362,18172,18.48326037,18.52781216,0.927839247,0.897189488
2017-03,382,16858,19.75780019,18.10179275,0.871929308,0.89176447
2018-09,359,18376,18.89,18.12823738,0.97,0.95
2018-10,406,19582,21.45,18.06974404,1.03,0.95
2019-08,299,18487,16.05,18.37632575,0.99,0.99
2019-10,415,20403,22.44,18.6409235,1.1,1
2019-12,191,21186,10.35,18.35055056,1.15,1.02
2020-04,36,16959,1.97,15.89322649,0.93,1.03
2021-06,360,17700,19.95,14.96155596,0.98,0.98
2021-07,261,18468,14.44,14.85626265,1.02,0.98
2021-09,309,18208,17.19,15.16425651,1.01,0.99
2021-12,235,18922,13.14,15.47434039,1.06,1
2022-11,240,17705,13.44,14.89039953,0.99,1.03
2023-08,222,17782,12.25,13.53641232,0.98,0.99
2015-01,383,15961,19.45277281,20.25577631,0.811444049,0.870688877
2015-05,353,16658,17.98925274,19.77951305,0.852068855,0.860360513
2016-02,370,16186,18.88826843,19.61396747,0.82628517,0.869508896
2016-07,309,18041,15.60759654,18.67225872,0.911251292,0.885007532
2016-11,363,16912,18.54591013,18.3818316,0.864045267,0.893804898
2017-04,342,16815,17.62715579,18.07056746,0.866668493,0.890528302
2017-08,293,17747,15.02000493,18.27347364,0.909761186,0.892357483
2017-12,286,17820,14.83705928,18.08401022,0.924462924,0.895231633
2018-05,293,18469,15.36,17.87261549,0.97,0.92
2018-07,415,19740,21.67,18.00952401,1.03,0.93
2018-08,297,19035,15.53,18.05689648,1,0.94
2019-02,324,16919,17.36,17.93160778,0.91,0.99
2019-06,354,18365,19,18.48858223,0.99,0.99
2020-06,218,15847,11.94,14.29707898,0.87,1.01
2020-10,327,18920,17.95,12.76181357,1.04,0.99
2021-03,284,18338,15.71,13.01017097,1.01,0.96
2021-10,289,18693,16.11,15.00849805,1.04,0.99
2021-11,279,18198,15.58,15.29169417,1.02,0.99
2023-04,216,16966,12.02,13.78213226,0.94,1.01
2023-05,235,17571,13.05,13.60852305,0.98,1.01
2016-03,408,17497,20.83690038,19.4994537,0.893586387,0.870707885
2016-04,353,17286,18.00586921,19.33850857,0.881726502,0.869522595
2017-02,321,15353,16.58403958,18.19338785,0.793192398,0.893547108
2017-06,379,17708,19.51620349,18.23825421,0.9118547,0.88655334
2017-09,349,17032,18.0317425,18.07252921,0.879990368,0.891419577
2017-10,425,18762,22.02844916,18.36544191,0.972465325,0.895067546
2018-01,374,16806,19.54,18.14069117,0.88,0.89
2018-11,358,18619,18.96,18.28392362,0.99,0.96
2018-12,266,19730,14.11,18.22990892,1.05,0.97
2019-05,355,18377,19.08,18.4463343,0.99,1
2019-07,370,19436,19.81,18.32745432,1.04,0.99
2019-09,393,18499,21.19,18.56473051,1,1
2019-11,353,19897,19.12,18.65304956,1.08,1.01
2020-01,252,18895,13.74,17.89662974,1.03,1.03
2020-02,306,17941,16.72,17.84069935,0.98,1.03
2020-07,288,17422,15.69,13.94204921,0.95,1.01
2020-08,236,17807,12.86,13.67389645,0.97,1
2020-09,273,17512,14.94,13.14592705,0.96,1
2020-12,200,18098,11,12.23672709,1,0.97
2021-02,300,17268,16.58,12.59945032,0.95,0.97
2021-05,229,16751,12.7,14.29638788,0.93,0.97
2022-06,270,18126,15.17,15.63354033,1.02,1.02
2022-08,245,19084,13.77,15.40777835,1.07,1.03
2022-12,191,18649,10.68,14.68442153,1.04,1.02
2023-06,284,17531,15.7,13.65555882,0.97,1
