annee,mois,nombre_jour_ferie
2003,1,1
2003,4,1
2003,5,3
2003,6,1
2003,7,1
2003,8,1
2003,11,2
2003,12,1
2004,1,1
2004,4,1
2004,5,4
2004,7,1
2004,8,1
2004,11,2
2004,12,1
2005,1,1
2005,3,1
2005,5,4
2005,7,1
2005,8,1
2005,11,2
2005,12,1
2006,1,1
2006,4,1
2006,5,3
2006,6,1
2006,7,1
2006,8,1
2006,11,2
2006,12,1
2007,1,1
2007,4,1
2007,5,4
2007,7,1
2007,8,1
2007,11,2
2007,12,1
2008,1,1
2008,3,1
2008,5,4
2008,7,1
2008,8,1
2008,11,2
2008,12,1
2009,1,1
2009,4,1
2009,5,3
2009,6,1
2009,7,1
2009,8,1
2009,11,2
2009,12,1
2010,1,1
2010,4,1
2010,5,4
2010,7,1
2010,8,1
2010,11,2
2010,12,1
2011,1,1
2011,4,1
2011,5,2
2011,6,2
2011,7,1
2011,8,1
2011,11,2
2011,12,1
2012,1,1
2012,4,1
2012,5,4
2012,7,1
2012,8,1
2012,11,2
2012,12,1
2013,1,1
2013,4,1
2013,5,4
2013,7,1
2013,8,1
2013,11,2
2013,12,1
2014,1,1
2014,4,1
2014,5,3
2014,6,1
2014,7,1
2014,8,1
2014,11,2
2014,12,1
2015,1,1
2015,4,1
2015,5,4
2015,7,1
2015,8,1
2015,11,2
2015,12,1
2016,1,1
2016,3,1
2016,5,4
2016,7,1
2016,8,1
2016,11,2
2016,12,1
2017,1,1
2017,4,1
2017,5,3
2017,6,1
2017,7,1
2017,8,1
2017,11,2
2017,12,1
2018,1,1
2018,4,1
2018,5,4
2018,7,1
2018,8,1
2018,11,2
2018,12,1
2019,1,1
2019,4,1
2019,5,3
2019,6,1
2019,7,1
2019,8,1
2019,11,2
2019,12,1
2020,1,1
2020,4,1
2020,5,3
2020,6,1
2020,7,1
2020,8,1
2020,11,2
2020,12,1
2021,1,1
2021,4,1
2021,5,4
2021,7,1
2021,8,1
2021,11,2
2021,12,1
2022,1,1
2022,4,1
2022,5,3
2022,6,1
2022,7,1
2022,8,1
2022,11,2
2022,12,1
2023,1,1
2023,4,1
2023,5,4
2023,7,1
2023,8,1
2023,11,2
2023,12,1
2024,1,1
2024,4,1
2024,5,4
2024,7,1
2024,8,1
2024,11,2
2024,12,1
2025,1,1
2025,4,1
2025,5,3
2025,6,1
2025,7,1
2025,8,1
2025,11,2
2025,12,1
2026,1,1
2026,4,1
2026,5,4
2026,7,1
2026,8,1
2026,11,2
2026,12,1
2027,1,1
2027,3,1
2027,5,4
2027,7,1
2027,8,1
2027,11,2
2027,12,1
2028,1,1
2028,4,1
2028,5,3
2028,6,1
2028,7,1
2028,8,1
2028,11,2
2028,12,1
